"ep_no","series_ep_code","title","air_date"
"001","s01e01","Red Light, Green Light","2021-09-17"
"002","s01e02","Hell","2021-09-17"
"003","s01e03","The Man with the Umbrella","2021-09-17"
"004","s01e04","Stick to the Team","2021-09-17"
"005","s01e05","A Fair World","2021-09-17"
"006","s01e06","Gganbu","2021-09-17"
"007","s01e07","VIPS","2021-09-17"
"008","s01e08","Front Man","2021-09-17"
"009","s01e09","One Lucky Day","2021-09-17"
"010","s02e01","Bread and Lottery","2024-12-26"
"011","s02e02","Halloween Party","2024-12-26"
"012","s02e03","001","2024-12-26"
"013","s02e04","Six Legs","2024-12-26"
"014","s02e05","One More Game","2024-12-26"
"015","s02e06","O X","2024-12-26"
"016","s02e07","Friend or Foe","2024-12-26"
"017","s03e01","Keys and Knives","2025-06-27"
"018","s03e02","The Starry Night","2025-06-27"
"019","s03e03","It's Not Your Fault","2025-06-27"
"020","s03e04","222","2025-06-27"
"021","s03e05","○△□","2025-06-27"
"022","s03e06","Humans Are...","2025-06-27"
